Title,id,会場(投稿),開催年度,多言語対応の有無,多言語対応（例）ウェブサイトの多言語化,バリアフリー対応の有無,バリアフリー対応策（例）,組織委員会の認証の有無,画像等データの有無,決算額_year,決算額_price
野点,2689,"江戸東京たてもの園 - センターゾーン 伊達家の門",2017,2017,,有り,英語,無し,,なし,あり・チラシ画像|あり・その他画像
茶道はじめて体験,2691,"江戸東京たてもの園 - 西ゾーン 吉野家（農家）",2017,2017,,有り,英語,無し,,なし,なし
"WELCOME ！ 英語で楽しむ茶席",2694,"江戸東京たてもの園 - 西ゾーン 綱島家（農家）",2017,2017,,有り,英語,無し,,なし,あり・チラシ画像|あり・その他画像
子供のための茶道教室,2695,"江戸東京たてもの園 - 西ゾーン 八王子千人同心組頭の家",2017,2017,,有り,英語,無し,,なし,あり・チラシ画像|あり・その他画像
アート・コミュニケータ養成,2697,東京都美術館,2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
第6期とびラー2次面接,2698,東京都美術館,2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
"実践講座 鑑賞",2699,東京都美術館,2016,2016,,無し,,無し,,なし,なし
"実践講座 アクセス",2700,東京都美術館,2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
"実践講座 建築",2701,東京都美術館,2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
世田谷区立芦花小学校,2703,世田谷区立芦花小学校,2016,2016,,有り,英語,無し,バリアフリー対応施設,なし,なし
【公募展活性化事業】上野アーティストプロジェクト「現代の写実──映像を超えて」,2705,"東京都美術館 – B3F ギャラリーA|東京都美術館 – B2F ギャラリーC",2017,2017,,有り,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設,,あり・チラシ画像
"三鷹市 三鷹市公会堂",2710,三鷹市公会堂,2016,2016,,有り,英語,無し,バリアフリー対応施設,なし,なし
"北区 星美ホーム",2711,児童養護施設星美ホーム,2016,2016,,有り,英語,無し,バリアフリー対応施設,なし,なし
北区立赤羽台西小学校,2712,北区立赤羽台西小学校,2016,2016,,有り,英語,無し,バリアフリー対応施設,なし,なし
練馬区立旭丘小学校,2713,練馬区立旭丘小学校,2016,2016,,有り,英語,無し,バリアフリー対応施設,なし,なし
足立区立扇小学校,2714,足立区立扇小学校,2016,2016,,有り,英語,無し,バリアフリー対応施設,なし,なし
府中市立住吉小学校,2715,府中市立住吉小学校,2016,2016,,有り,英語,無し,バリアフリー対応施設,なし,なし
国分寺市立第二小学校,2716,国分寺市立第二小学校,2016,2016,,有り,英語,無し,バリアフリー対応施設,なし,なし
八王子市立愛宕小学校,2717,八王子市立愛宕小学校,2016,2016,,有り,英語,無し,バリアフリー対応施設,なし,なし
東大和市立第六小学校,2718,東大和市立第六小学校,2016,2016,,有り,英語,無し,バリアフリー対応施設,なし,なし
羽村市立羽村西小学校,2719,羽村市立羽村西小学校,2016,2016,,有り,英語,無し,バリアフリー対応施設,なし,なし
江東区立南砂中学校,2725,江東区立南砂中学校,2016,2016,,有り,英語,無し,バリアフリー対応施設,なし,なし
目黒区立大鳥中学校,2726,目黒区立大鳥中学校,2016,2016,,有り,英語,無し,バリアフリー対応施設,なし,なし
多摩市立青陵中学校,2730,多摩市立青陵中学校,2016,2016,,有り,英語,無し,バリアフリー対応施設,なし,なし
利島村立利島小中学校,2731,利島村立利島小中学校,2016,2016,,有り,英語,無し,バリアフリー対応施設,なし,なし
八丈町立大賀郷小学校,2732,八丈町立大賀郷小学校,2016,2016,,有り,英語,無し,バリアフリー対応施設,なし,なし
精神の〈北〉へ－かすかな共振をとらえて－,2741,"東京都美術館 – B3F ギャラリーA",2017,2017,,有り,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設,,
ひの煉瓦ホール（日野市民会館）小ホール,2742,ひの煉瓦ホール(日野市民会館）,2016,2016,,有り,英語,無し,バリアフリー対応施設,なし,なし
東京都立葛飾ろう学校（2017年2月3日）,2743,東京都立葛飾ろう学校,2016,2016,,無し,,無し,,なし,なし
"板橋区 マハヤナ学園撫子園",2744,マハヤナ学園撫子園,2016,2016,,有り,英語,無し,バリアフリー対応施設,なし,なし
"調布市 調布学園",2745,調布学園,2016,2016,,有り,英語,無し,バリアフリー対応施設,なし,なし
町田市立鶴川第三小学校（2017年2月18日）,2749,町田市立鶴川第三小学校,2016,2016,,無し,,無し,,なし,なし
東京都立八王子東特別支援学校（2017年2月21日）,2750,東京都立八王子東特別支援学校,2016,2016,,無し,,無し,,なし,なし
"東京都江戸博物館 ワークシートの作り方",2753,東京都江戸東京博物館,2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
"海のプロセス - 言葉をめぐる地図",2754,"東京都美術館 – B3F ギャラリーB",2017,2017,,有り,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設,,
茶席　中島の御茶屋,2756,浜離宮恩賜庭園－中島の御茶屋,2017,2017,,有り,英語,無し,,なし,あり・チラシ画像|あり・その他画像
新章風景＃2-現代における風景写真の在り方-,2757,"東京都美術館 – B2F ギャラリーC",2017,2017,,有り,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設,,
ギャラリートーク,2758,"都立中央図書館 - 4F 多目的ホール",2016,2016,,無し,,無し,,なし,なし
ワークショップ,2759,"都立中央図書館 - 4F 多目的ホール",2016,2016,,無し,,無し,,なし,なし
"舞台芸術創造事業 夏目漱石生誕150年記念・国際共同制作 オペラ「Four Nights of Dream」（日本初演）",2763,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
茶席　芳梅亭,2764,浜離宮恩賜庭園－芳梅亭,2017,2017,,有り,英語,無し,,なし,あり・チラシ画像|あり・その他画像
野点,2766,浜離宮恩賜庭園－中の橋袂3席,2017,2017,,有り,英語,無し,,なし,あり・チラシ画像|あり・その他画像
"WELCOME ！ 英語で楽しむ茶席",2768,浜離宮恩賜庭園－中の橋袂,2017,2017,,有り,英語,無し,,なし,なし
高校生野点,2770,浜離宮恩賜庭園－中の橋袂,2017,2017,,有り,英語,無し,,なし,あり・チラシ画像|あり・その他画像
茶道はじめて体験,2771,浜離宮恩賜庭園－花木園,2017,2017,,有り,英語,無し,,なし,あり・チラシ画像|あり・その他画像
"東京文化会館 オペラＢＯＸ「Help!Help!グロボリンクスだ!～エイリアン襲来!!～」",2774,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
並河靖之七宝展　明治七宝の誘惑―透明な黒の感性,2777,"東京都庭園美術館 - 本館・新館",2017,2017,,有り,英語,有り,バリアフリー対応施設,なし,あり・チラシ画像
"創遊・楽落らいぶVol. 38",2778,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"創遊・楽落らいぶVol. 39",2779,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"創遊・楽落らいぶVol. 40",2780,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
創遊・楽落“夜”らいぶVol.41,2781,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
切断芸術運動というシミュレーション・アート展,2782,"東京都美術館 – B3F ギャラリーA",2017,2017,,有り,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設,,
エピクロスの空き地,2783,"東京都美術館 – B3F ギャラリーB",2017,2017,,有り,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設,,
東京文化会館《響の森》vol.40,2786,"東京文化会館 - 大ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
境界を跨ぐと、,2787,"東京都美術館 – B2F ギャラリーC",2017,2017,,有り,英語|中国語簡体字|中国語繁体字|韓国語,有り,バリアフリー対応施設,,
東京文化会館《響の森》vol.41「ニューイヤーコンサート2018」,2788,"東京文化会館 - 大ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
【江戸東京博物館】図書室等の運営,2791,"東京都江戸東京博物館 - 7F 図書室",2016,2016,,無し,,有り,バリアフリー対応施設,なし,なし
江戸川区立鹿骨東小学校,2796,江戸川区立鹿骨東小学校,2017,2017,,有り,英語,無し,,なし,なし
[2017]鑑賞用ツールの制作と提供（ジュニアガイドなど）,2798,東京都美術館,2017,2017,,無し,,有り,バリアフリー対応施設,,あり・その他画像
"装飾は流転する　Decoration never dies, anyway",2800,"東京都庭園美術館 - 本館・新館",2017,2017,,有り,英語,有り,バリアフリー対応施設,なし,あり・チラシ画像
足立区立花畑小学校,2801,足立区立花畑小学校,2017,2017,,有り,英語,無し,,なし,なし
舞台芸術創造事業「兵士の物語」,2804,"東京文化会館 - 小ホール",2017,2016,,無し,,有り,バリアフリー対応施設,なし,なし
アーティストトーク,2806,"東京都庭園美術館 - 新館 ギャラリー2",2017,2017,,有り,英語,有り,バリアフリー対応施設,なし,あり・その他画像
江東区立第五砂町幼稚園（2016年9月20日）,2807,江東区立第五砂町幼稚園,2016,2016,,無し,,無し,,なし,なし
ブリッジの作り方シリーズ12「トリエンナーレ・シンドローム編」,2809,"P3 art and environment",2016,2016,,無し,,無し,,なし,なし
豊島区立明豊中学校,2810,豊島区立明豊中学校,2017,2017,,有り,英語,無し,,なし,なし
台東区立金曽木小学校（2016年9月30日）,2812,台東区立金曽木小学校,2016,2016,,無し,,無し,,なし,なし
東村山市立萩山小学校,2813,東村山市立萩山小学校,2017,2017,,有り,英語,無し,,なし,なし
ギャラリー・トーク,2815,"東京都庭園美術館 - 本館・新館",2017,2017,,有り,英語,有り,バリアフリー対応施設,なし,なし
小平市立小平第九小学校（2016年10月27日）,2816,小平市立小平第九小学校,2016,2016,,無し,,無し,,なし,なし
北区立王子第二小学校（2016年10月28日）,2817,北区立王子第二小学校,2016,2016,,無し,,無し,,なし,なし
東京都立江東特別支援学校,2818,東京都立江東特別支援学校,2017,2017,,有り,英語,無し,,なし,あり・チラシ画像|あり・その他画像
山本麻紀子ワークショップ「落とし物のお店」,2821,"東京都庭園美術館 - 新館 ギャラリー2",2017,2017,,有り,英語,有り,バリアフリー対応施設,なし,あり・その他画像
八王子市第六小学校（特別支援学級）（2016年10月31日）,2822,"八王子市第六小学校 - 特別支援学級",2016,2016,,無し,,無し,,なし,なし
荒川区立尾久幼稚園（2016年11月9日）,2824,荒川区立尾久幼稚園,2016,2016,,無し,,無し,,なし,なし
文京区柳町幼稚園（2016年11月25日）,2826,文京区柳町幼稚園,2016,2016,,無し,,無し,,なし,なし
"イグニションボックスDOMMUNE「EXTREME QUIET VILLAGE vol. 2 装飾の生命線」",2828,"東京都庭園美術館 - 新館 ギャラリー2",2017,2017,,有り,英語,有り,バリアフリー対応施設,なし,あり・その他画像
台東区立台東保育園（2016年12月8日）,2829,台東区立台東保育園,2016,2016,,無し,,無し,,なし,なし
大田区立洗足池小学校,2831,大田区立洗足池小学校,2017,2017,,有り,英語,無し,,なし,なし
練馬区立大泉西小学校（2016年12月15日）,2832,練馬区立大泉西小学校,2016,2016,,無し,,無し,,なし,なし
日の出町立大久野中学校（2016年12月20日）,2834,日の出町立大久野中学校,2016,2016,,無し,,無し,,なし,なし
千代田区立麹町幼稚園（2016年12月21日）,2837,千代田区立麹町幼稚園,2016,2016,,無し,,無し,,なし,なし
文京区立明化幼稚園（2016年12月21日）,2839,文京区立明化幼稚園,2016,2016,,無し,,無し,,なし,なし
"アール・デコ・リヴァイヴァル 鹿島茂コレクション　フランス絵本の世界",2841,"東京都庭園美術館 - 新館",2017,2017,,有り,英語|中国語簡体字|中国語繁体字|韓国語|その他,有り,バリアフリー対応施設,なし,あり・チラシ画像
足立区立亀田小学校【校外学習】（2017年1月25日）,2842,足立区立亀田小学校,2016,2016,,無し,,無し,,なし,なし
"「音楽で楽しむフランス絵本の世界 青柳いづみこによるドビュッシー『おもちゃ箱』」",2845,"東京都庭園美術館 - 新館 ギャラリー2",2017,2017,,有り,英語|中国語簡体字|中国語繁体字|韓国語|その他,有り,バリアフリー対応施設,なし,あり・その他画像
「五感と想像力で歩く建築ツアー」,2847,東京都庭園美術館,2017,2017,,有り,英語|中国語簡体字|中国語繁体字|韓国語|その他,有り,バリアフリー対応施設,なし,あり・その他画像
"上野deクラシック 4月",2850,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
上野deクラシック5月,2851,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
上野deクラシック6月,2852,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"上野deクラシック2月 2hours concert",2853,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
上野deクラシック7月,2854,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
上野deクラシック8月,2855,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
上野deクラシック9月,2856,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
上野deクラシック10月,2857,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"上野deクラシック11月 2hours concert",2858,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
上野deクラシック11月,2859,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
上野deクラシック12月,2860,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
上野deクラシック1月,2861,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
上野deクラシック3月,2862,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"BRIDGE STORY（ウェブコンテンツ）",2866,,2016,2016,,無し,,無し,,なし,なし
ピアノ部門,2869,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"第15回東京音楽コンクール第1 次予選（非公開審査）",2870,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
木管部門,2871,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
弦楽部門,2872,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
ピアノ部門,2873,"東京文化会館 - 大ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
弦楽部門,2874,"東京文化会館 - 大ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
木管部門,2875,"東京文化会館 - 大ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
第15回東京音楽コンクール優勝者コンサート,2877,"東京文化会館 - 大ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
深貝理紗子ピアノ・リサイタル,2879,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
田原綾子ヴィオラ・リサイタル,2880,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"コハーン・イシュトヴァーン クラリネット・リサイタル",2881,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
上野通明チェロ・リサイタル,2882,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
夏休み子供音楽会2017《上野の森文化探検》,2884,"東京文化会館 - 大ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
公開リハーサル,2886,,2015,2015,,無し,,無し,,,
バックステージツアー《夏休みスペシャル！》,2888,"東京文化会館 - 大ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
インターンプログラム,2889,アーツ千代田3331,2016,2016,,無し,,無し,,なし,なし
バックステージツアー《舞台編》,2890,"東京文化会館 - 大ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
バックステージツアー《舞台編》,2891,"東京文化会館 - 大ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
バックステージツアー《建築編》,2892,"東京文化会館 - 大ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
【2017年】《弦楽四重奏》,2894,"東京文化会館 - 大ホールホワイエ",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
【2017年】《弦楽四重奏》,2896,"東京文化会館 - 大ホールホワイエ",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
【2017年】《弦楽四重奏》,2898,"東京文化会館 - 大ホールホワイエ",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
【2017年】《弦楽四重奏》,2899,"東京文化会館 - 大ホールホワイエ",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
ナイト・ミニ・コンサート,2901,国立西洋美術館ー講堂,2017,2017,,無し,,無し,,なし,なし
"小曽根 真＆ピーター・アースキン  “Jazz meets Classic” with東京都交響楽団",2903,"東京文化会館 - 大ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"小曽根 真＆ピーター・アースキン  “Jazz meets Classic” with東京都交響楽団（オリンパスホール八王子）",2904,オリンパスホール八王子,2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"第1回 アルディッティ弦楽四重奏団",2905,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"第2回 御喜美江＆大田智美",2906,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"第3回 アントニオ・メネセス",2907,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"第4回 北村英治カルテット",2908,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"第5回 イザベル・ファウスト",2909,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
Vol.1「漱石の体験した洋楽〜室内楽と喜歌劇《ボッカチオ》」,2910,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"Vol.2藤木大地 カウンターテナー・リサイタル",2911,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"3 歳からの楽しいクラシック",2912,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"下町風俗資料館付設展示場 旧吉田屋酒店",2913,台東区立下町風俗資料館付設展示場(旧吉田屋酒店),2017,2017,,無し,,無し,,なし,なし
東京文化会館キャノピー,2914,"東京文化会館 - キャノピー広場スペース",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
東京文化会館キャノピー,2915,"東京文化会館 - キャノピー広場スペース",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"旧岩崎邸庭園 洋館内",2916,"旧岩崎邸庭園 - 洋館1階",2017,2017,,無し,,無し,,なし,なし
"旧岩崎邸庭園 洋館内",2917,"旧岩崎邸庭園 - 洋館1階",2017,2017,,無し,,無し,,なし,なし
"江戸東京たてもの園 子宝湯",2918,"江戸東京たてもの園 - 東ゾーン 子宝湯",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"江戸東京たてもの園 子宝湯",2919,"江戸東京たてもの園 - 東ゾーン 子宝湯",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"国立西洋美術館 本館 1 階ロビー",2920,"国立西洋美術館 - 本館１階ロビー",2017,2017,,無し,,無し,,なし,なし
"東京国立博物館 本館大階段",2921,"東京国立博物館 - 本館 大階段",2017,2017,,無し,,無し,,なし,なし
"国立国会図書館 国際子ども図書館 レンガ棟    3 階ホール",2922,"国立国会図書館 ‐ 国際子ども図書館 レンガ棟 3 階ホール",2017,2017,,無し,,無し,,なし,なし
"東京都美術館 佐藤慶太郎記念アートラウンジ",2923,"東京都美術館 - 佐藤慶太郎記念アートラウンジ",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"東京都美術館 佐藤慶太郎記念アートラウンジ",2924,"東京都美術館 - 交流棟 2F アートスタディルーム",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"国立科学博物館 日本館中央ホール",2925,"国立科学博物館 - 日本館 1F 中央ホール",2017,2017,,無し,,無し,,なし,なし
[2017]とびらボードの貸出し,2928,東京都美術館,2017,2017,,無し,,有り,バリアフリー対応施設,,なし
まちなかコンサート×ドリーム夜さ来い祭り,2929,"お台場 自由の女神会場（グランドニッコー東京 台場前） - メイン舞台",2017,2017,,無し,,無し,,なし,なし
"まちなかコンサート×Station LIVE in 山手線 Special Train",2932,"JR東日本30周年記念 山手線ラッピングトレイン団体貸切列車内",2017,2017,,無し,,無し,,なし,なし
東京文化会館、東京芸術劇場、文京シビックセンター他,2935,東京文化会館|東京芸術劇場|文京シビックセンター,2017,2017,,無し,,無し,,なし,なし
カーザ・ダ・ムジカ（ポルトガル）,2937,カーザ・ダ・ムジカ（ポルトガル）,2017,2017,,無し,,無し,,なし,なし
ポルトガル研修報告会(東京文化会館中会議室2),2939,"東京文化会館 - 中会議室 2",2017,2017,,無し,,無し,,なし,なし
"ワークショップ・プログラム稽古(東京文化会館鑑賞室 他)",2941,"東京文化会館 - 中会議室 2",2017,2017,,無し,,無し,,なし,なし
"あけてみよう！海のふしぎな宝箱 1 ） 6 ヶ月～18ヶ月",2942,"東京文化会館 - リハーサル室",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"タネまき、タネまき、大きくなあれ！１） 19〜35ヶ月",2943,"東京文化会館 - リハーサル室",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"あけてみよう！海のふしぎな宝箱 2 ）19ヶ月～35ヶ月",2944,"東京文化会館 - リハーサル室",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"あけてみよう！海のふしぎな宝箱 3 ）3〜 4歳",2945,"東京文化会館 - リハーサル室",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"タネまき、タネまき、大きくなあれ！２） 3歳～ 4 歳",2946,"東京文化会館 - リハーサル室",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
GO！ワイルド！,2947,"東京文化会館 - リハーサル室",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"ムジカ・ピッコラ １） 3 歳～ 4 歳",2948,"東京文化会館 - リハーサル室",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"ムジカ・ピッコラ ２） 5 歳～ 6 歳",2949,"東京文化会館 - リハーサル室",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
はじめましてクラシック〜ヴァイオリン＆ピアノ,2950,"東京文化会館 - リハーサル室",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
はじめましてクラシック〜金管五重奏,2951,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"One Day セッション〜歌って奏でる日本の風景〜",2952,"東京文化会館 - 小ホール",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"はじめましてクラシック〜弦楽四重奏〜 1）6〜18ヶ月",2953,"東京文化会館 - リハーサル室",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"はじめましてクラシック〜弦楽四重奏〜 2）19〜35ヶ月",2954,"東京文化会館 - リハーサル室",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"旅するヨーロッパ 3)5〜 6歳（未就学児）",2955,"東京文化会館 - リハーサル室",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"森の王様のフェスタ 1）19〜35ヶ月",2956,"東京文化会館 - リハーサル室",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"森の王様のフェスタ 2）3 歳～4歳",2957,"東京文化会館 - リハーサル室",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"森の王様のフェスタ 3）5 歳～ 6 歳",2958,"東京文化会館 - リハーサル室",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
動物たんてい〜かくれているのは、だあれだ？〜1）6〜18ヶ月,2959,"東京文化会館 - リハーサル室",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
動物たんてい〜かくれているのは、だあれだ？〜2）19〜35ヶ月,2960,"東京文化会館 - リハーサル室",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"Music Clock",2961,"東京文化会館 - リハーサル室",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
"はじめましてクラシック〜金管五重奏 1）19〜35ヶ月",2962,"東京芸術劇場 - リハーサル室",2017,2017,,無し,,有り,バリアフリー対応施設,なし,なし
[2017]展覧会関連参加型プログラムの実施,2963,東京都美術館,2017,2017,,無し,,有り,バリアフリー対応施設,,なし
岩城京子,2964,トーキョーアーツアンドスペースレジデンシー,2017,2017,,有り,英語,無し,,なし,なし
武田竜真,2965,トーキョーアーツアンドスペースレジデンシー,2017,2017,,有り,英語,無し,,なし,なし
臼井仁美,2966,トーキョーアーツアンドスペースレジデンシー,2017,2017,,有り,英語,無し,,なし,なし
"Qenji Yoshida",2967,トーキョーアーツアンドスペースレジデンシー,2017,2017,,有り,英語,無し,,なし,なし
中島伽耶子,2968,トーキョーアーツアンドスペースレジデンシー,2017,2017,,有り,英語,無し,,なし,なし
レオノール・セラーノ・リーヴァス,2969,トーキョーアーツアンドスペースレジデンシー,2017,2017,,有り,英語,無し,,なし,なし
"リ ー･イーファン",2970,トーキョーアーツアンドスペースレジデンシー,2017,2017,,有り,英語,無し,,なし,なし
アヌーク・ミラディノヴィッチ,2971,トーキョーアーツアンドスペースレジデンシー,2017,2017,,有り,英語,無し,,なし,なし
パトリツィア・ダンダー,2972,トーキョーアーツアンドスペースレジデンシー,2017,2017,,有り,英語,無し,,なし,なし
