id,Title,Content,_list_0_title
762,【誘致展】フォトジャーナリスト長倉洋海の眼　地を這い、未来へ駆ける,,field_5c4a704925c82
764,実験劇場等,,field_5c4a704925c82
782,国際交流事業,,field_5c4a704925c82
785,とっぷ雅楽,,field_5c4a704925c82
787,図書室等の運営,,field_5c4a704925c82
789,自主公演/定期演奏会,,field_5c4a704925c82
792,自主公演/プロムナードコンサート,,field_5c4a704925c82
793,自主公演/特別演奏会,,field_5c4a704925c82
806,"世界のマエストロシリーズ 読売日本交響楽団",,field_5c4a704925c82
808,クラシカル・プレイヤーズ東京　演奏会,,field_5c4a704925c82
813,海外オーケストラシリーズ,,field_5c4a704925c82
815,0才から聴こう！！／４才から聴こう！！春休みコンサート,,field_5c4a704925c82
820,神楽坂まち舞台・大江戸めぐり,,field_5c4a704925c82
822,東京大茶会,,field_5c4a704925c82
837,プレミアムコンサート～未来へのハーモニー～,,field_5c4a704925c82
852,"ミュージック・プログラム・トーキョー「Enjoy Concerts!」",,field_5c4a704925c82
875,共催・提携公演,,field_5c4a704925c82
1221,【特別展】ポンピドゥー・センター傑作展─ピカソ、マティス、デュシャンからクリストまで─,,field_5c4a704925c82
1234,【開館90周年記念展】木々との対話──再生をめぐる5つの風景,,field_5c4a704925c82
1236,"【連携展】第5回 都美セレクション グループ展",,field_5c4a704925c82
1243,常設展示,,field_5c4a704925c82
1260,"ミュージック・プログラム・トーキョーMusic　EducationProgram アウトリーチ・コンサート",,field_5c4a704925c82
1273,"ミュージック・プログラム・トーキョーMusic　EducationProgram アウトリーチ・ワークショップ（クリニック）",,field_5c4a704925c82
1284,"【連携展】TOKYO 書 2017　公募団体の今",,field_5c4a704925c82
1287,【コレクション展】東京都現代美術館所蔵「新東京百景─90年前の東京」,,field_5c4a704925c82
1312,東京芸術文化創造発信助成　単年助成プログラム,,field_5c4a704925c82
1319,第14回東京音楽コンクール優勝者＆最高位入賞者コンサート,,field_5c4a704925c82
1365,モーニングコンサート,,field_5c4a704925c82
1456,"【特別展】「よみがえれ！ シーボルトの日本博物館」展",,field_5c4a704925c82
1477,TURN,,field_5c4a704925c82
1577,【特別展】「戦国時代」展,,field_5c4a704925c82
1581,【特別展】「江戸と北京-18世紀の都市と暮らし」展,,field_5c4a704925c82
1584,えどはくカルチャー,,field_5c4a704925c82
1638,伝統芸能フォーラム,,field_5c4a704925c82
1641,国際交流事業（第15回日中韓博物館国際シンポジウム）,,field_5c4a704925c82
1682,ふれあい体験教室,,field_5c4a704925c82
1742,Creator-in-Residence,,field_5c4a704925c82
1792,都民コンサート,,field_5c4a704925c82
1869,伝承のたまてばこ～多摩伝統文化フェスティバル～,,field_5c4a704925c82
2047,東京音楽コンクール入賞者支援リサイタル,,field_5c4a704925c82
2053,《響の森》コンサート,,field_5c4a704925c82
2074,芸術文化による社会支援助成,,field_5c4a704925c82
2118,青少年のための演奏,,field_5c4a704925c82
2120,小規模演奏会,,field_5c4a704925c82
2126,"東京文化会館 バックステージツアー",,field_5c4a704925c82
2135,ティータイムコンサート,,field_5c4a704925c82
2160,島しょ芸術文化振興事業,,field_5c4a704925c82
2175,子供歌舞伎教室,,field_5c4a704925c82
2182,都民半額観劇会,,field_5c4a704925c82
2218,アール・ブリュット等の展覧会,,field_5c4a704925c82
2223,ヘブンアーティスト,,field_5c4a704925c82
2236,創遊・楽落らいぶ－音楽家と落語家のコラボレーション－,,field_5c4a704925c82
2272,ナイト・ミニ・コンサート,,field_5c4a704925c82
2280,ミュージック・プログラム・トーキョーMusic　EducationProgram「Workshop　Workshop!～国際連携企画～」,,field_5c4a704925c82
2296,上野「文化の杜」新構想,,field_5c4a704925c82
2355,【2017】Creator-in-Residence,,field_5c4a704925c82
2357,"開館90周年記念フォーラム 創造と共生の場を求めて──美術館の歴史と未来",,field_5c4a704925c82
2359,"開館90周年記念 アーカイブズ資料展示 造形講座と東京都美術館",,field_5c4a704925c82
2362,【特別展】ティツィアーノとヴェネツィア派展,,field_5c4a704925c82
2364,"アール・デコ・リヴァイヴァル 建物公開 旧朝香宮邸物語",,field_5c4a704925c82
2365,アート・コミュニケーション事業,,field_5c4a704925c82
2395,ミュージアム・コンサート,,field_5c4a704925c82
2401,"【連携展】都美セレクション 新鋭美術家 2017",,field_5c4a704925c82
2429,"Shibuya StreetDance Week",,field_5c4a704925c82
2468,"TWSEmerging  2017",,field_5c4a704925c82
2476,"【特別展】  ティツィアーノとヴェネツィア派展",,field_5c4a704925c82
2482,キッズ伝統芸能体験,,field_5c4a704925c82
2515,ミュージアムトーク,,field_5c4a704925c82
2516,"【特別展】  ボイマンス美術館所蔵 ブリューゲル「バベルの塔」展  16世紀ネーデルラントの至宝─ボスを超えて─",,field_5c4a704925c82
2542,神楽坂まち舞台・大江戸めぐり2017,,field_5c4a704925c82
2555,"【特別展】  ボストン美術館の至宝展──東西の名品、珠玉のコレクション",,field_5c4a704925c82
2557,"【特別展】  ゴッホ展 巡りゆく日本の夢",,field_5c4a704925c82
2569,茶室活用,,field_5c4a704925c82
2571,"【特別展】  ブリューゲル展 画家一族 150年の系譜",,field_5c4a704925c82
2605,ミュージアムラボを拠点とする教育普及事業,,
2606,博物館ボランティア,,field_5c4a704925c82
2608,映像・音響関連施設の運営,,field_5c4a704925c82
2614,【江戸東京博物館】図書室等の運営,,field_5c4a704925c82
2615,子供のための伝統文化・芸能体験事業,,field_5c4a704925c82
2673,"【企画展】  杉戸洋 とんぼ と のりしろ",,
2674,"【企画展】  杉戸洋 とんぼ と のりしろ",,field_5c4a704925c82
2676,"【コレクション展】東京都現代美術館所蔵 近代の写実展",,field_5c4a704925c82
2680,東京大茶会2017,,field_5c4a704925c82
2696,アート・コミュニケーション事業基盤整備事業,,field_5c4a704925c82
2702,パフォーマンスキッズ・トーキョー,,field_5c4a704925c82
2704,【公募展活性化事業】上野アーティストプロジェクト「現代の写実──映像を超えて」,,field_5c4a704925c82
2737,"【公募展活性化事業】  第6回 都美セレクション グループ展",,field_5c4a704925c82
2752,学校と文化施設をつなぐ「ティーチャーズプログラム2016」,,field_5c4a704925c82
2762,"舞台芸術創造事業 夏目漱石生誕150年記念・国際共同制作 オペラ「Four Nights of Dream」（日本初演）",,field_5c4a704925c82
2773,"東京文化会館 オペラＢＯＸ「Help!Help!グロボリンクスだ!～エイリアン襲来!!～」",,field_5c4a704925c82
2775,【2017】【企画展示】並河靖之七宝展　明治七宝の誘惑―透明な黒の感性,,field_5c4a704925c82
2776,創遊・楽落らいぶ－音楽家と落語家のコラボレーション－,,field_5c4a704925c82
2785,《響の森》コンサート,,field_5c4a704925c82
2794,"【企画展示】装飾は流転する　Decoration never dies, anyway",,field_5c4a704925c82
2795,子供のための伝統文化・芸能体験事業,,field_5c4a704925c82
2797,[2017]アート・コミュニケーション事業,,field_5c4a704925c82
2802,舞台芸術創造事業「兵士の物語」,,field_5c4a704925c82
2805,"ミュージック・プログラム・トーキョーMusic　EducationProgram アウトリーチ・ワークショップ（ミュージック・ワークショップ）",,field_5c4a704925c82
2836,"【企画展示】アール・デコ・リヴァイヴァル 鹿島茂コレクション　フランス絵本の世界",,field_5c4a704925c82
2846,【2017】ワークショップ等,,field_5c4a704925c82
2849,上野deクラシック,,field_5c4a704925c82
2864,"【東京アートポイント計画】Art Bridge Institute",,
2867,第15回東京音楽コンクール,,field_5c4a704925c82
2876,第15回東京音楽コンクール優勝者コンサート,,field_5c4a704925c82
2878,東京音楽コンクール入賞者支援リサイタル,,field_5c4a704925c82
2883,夏休み子供音楽会2017《上野の森文化探検》,,field_5c4a704925c82
2885,公開リハーサル,,field_5c4a704925c82
2887,"【2017】東京文化会館 バックステージツアー",,field_5c4a704925c82
2893,ティータイムコンサート,,field_5c4a704925c82
2900,ナイト・ミニ・コンサート,,field_5c4a704925c82
2902,"【2017】ミュージック・プログラム・トーキョー「Enjoy Concerts!」",,field_5c4a704925c82
2934,"【2017】ミュージック・プログラム・トーキョーMusic EducationProgram「Workshop Workshop!～国際連携企画～」",,field_5c4a704925c82
3057,"ミュージック・プログラム・トーキョーMusic EducationProgram オペラをつくろう",,field_5c4a704925c82
3063,【東京アートポイント計画】トッピングイースト,,field_5c4a704925c82
3126,"[2017]ワンダーシード2018関連企画ワークショップ  種から咲かそう！ワンダーフラワー",,field_5c4a704925c82
3128,ワンダーシード2018,,field_5c4a704925c82
3132,"オープン・スタジオ 2017-2018",,field_5c4a704925c82
3195,"ミュージック・プログラム・トーキョー Music EducationProgram Talk & lesson",,field_5c4a704925c82
3212,外国人向け伝統文化・芸能　短時間体験プログラム,,field_5c4a704925c82
3224,"ミュージック・プログラム・トーキョーMusic EducationProgram 東京オーケストラ事業協同組合共催事業 特別支援学校コンサート",,field_5c4a704925c82
3225,"【2017】ミュージック・プログラム・トーキョー Music EducationProgram Talk & lesson",,field_5c4a704925c82
3227,"【2017】ミュージック・プログラム・トーキョーMusic EducationProgram オペラをつくろう",,field_5c4a704925c82
3232,"[2017]渋谷自在 ―無限、あるいは自己の領域",,field_5c4a704925c82
3240,"【2017】ミュージック・プログラム・トーキョーMusic EducationProgram アウトリーチ・コンサート",,field_5c4a704925c82
3244,"[2017]TWS渋谷 クロージング・イベント",,field_5c4a704925c82
3292,"【2017】ミュージック・プログラム・トーキョーMusic EducationProgram  アウトリーチ・ワークショップ（クリニック）",,field_5c4a704925c82
3297,"【2017】ミュージック・プログラム・トーキョーMusic EducationProgram  アウトリーチ・ワークショップ（ミュージック・ワークショップ）",,field_5c4a704925c82
3299,"MOTサテライト 2017秋 むすぶ風景",,field_5c4a704925c82
3317,"トーキョーワンダーサイト レジデンス2016-2017",,field_5c4a704925c82
3389,"“Born Creative” Festival 2017",,field_5c4a704925c82
3400,[2017]海外オーケストラシリーズ,,field_5c4a704925c82
3402,外国人向け伝統文化・芸能　短時間体験プログラム,,field_5c4a704925c82
3444,外国人向け伝統文化・芸能　体験・鑑賞プログラム,,field_5c4a704925c82
3452,庭園公開,,field_5c4a704925c82
3454,【東京アートポイント計画】TERATOTERA,,field_5c4a704925c82
3456,ウェルカムルームの運営,,field_5c4a704925c82
3458,"【収蔵展】総合開館20周年記念事業 夜明けまえ 知られざる日本写真開拓史 総集編",,field_5c4a704925c82
3461,"【収蔵展】総合開館20周年記念事業 山崎博　計画と偶然",,field_5c4a704925c82
3463,"【収蔵展】総合開館20周年記念事業 TOPコレクション いま、ここにいる― 平成をスクロールする 春期",,field_5c4a704925c82
3481,"N響Jazz at 芸劇",,field_5c4a704925c82
3483,"世界のマエストロシリーズ 読売日本交響楽団",,field_5c4a704925c82
3485,ブラスウィーク2017,,field_5c4a704925c82
3496,"[2017]クラシカル・プレイヤーズ東京 演奏会",,field_5c4a704925c82
3504,エル・システマ･フェスティバル2017,,field_5c4a704925c82
3524,"東京芸術劇場シアターオペラvol.11 全国共同制作プロジェクト  プッチーニ／歌劇『トスカ』《新演出》 全3幕 日本語字幕付 イタリア語上演",,field_5c4a704925c82
3528,"リサイタルシリーズ「辻井伸行 音楽と絵画コンサート」",,field_5c4a704925c82
3536,,,field_5c4a704925c82
3543,"東京芸術劇場コンサートオペラvol.5  ビゼー／歌劇『真珠とり』全3幕 *演奏会形式 日本語字幕付フランス語上演、照明付",,field_5c4a704925c82
3548,[2017]大ホール活性化事業,,field_5c4a704925c82
3552,【東京アートポイント計画】小金井アートフル・アクション！,,field_5c4a704925c82
3577,[2017]オルガン・ア・ラ・カルト,,field_5c4a704925c82
3584,"【収蔵展】総合開館20周年記念事業 TOPコレクション コミュニケーションと孤独― 平成をスクロールする 夏期",,field_5c4a704925c82
3587,【収蔵展】エクスパンデッド・シネマ再考,,field_5c4a704925c82
3589,"【収蔵展】総合開館20周年記念事業 TOPコレクション シンクロニシティ― 平成をスクロールする 秋期",,field_5c4a704925c82
3591,"【収蔵展】TOP Collection アジェのインスピレーション ひきつがれる精神",,field_5c4a704925c82
3593,【収蔵展】『光画』と新興写真　モダニズムの日本,,field_5c4a704925c82
3594,【ダミー】ああああ,,
3605,[2017]0才から聴こう！！／４才から聴こう！！春休みコンサート,,field_5c4a704925c82
3616,"【企画展】総合開館20周年記念 ダヤニータ・シン インドの大きな家の美術館",,field_5c4a704925c82
3619,"【企画展】総合開館20周年記念 荒木経惟 センチメンタルな旅 1971－2017－",,field_5c4a704925c82
3627,"【企画展】長島有里枝 そしてひとつまみの皮肉と、愛を少々。",,field_5c4a704925c82
3639,外国人向け伝統文化・芸能　体験・鑑賞プログラム,,field_5c4a704925c82
3640,"【企画展】無垢と経験の写真 日本の新進作家 vol. 14",,field_5c4a704925c82
3642,【企画展】写真発祥地の原風景　長崎,,field_5c4a704925c82
3647,"総合開館20周年記念事業 第10回恵比寿映像祭「マルチプルな未来」",,field_5c4a704925c82
3649,【東京アートポイント計画】三原色〔ミハライロ〕,,field_5c4a704925c82
3655,[2017]音楽大学オーケストラ･フェスティバル,,field_5c4a704925c82
3667,[2017]芸劇ウインド･オーケストラ･アカデミー,,field_5c4a704925c82
3675,【東京アートポイント計画】リライトプロジェクト,,field_5c4a704925c82
3676,[2017]芸劇ジュニア･アンサンブル・アカデミー,,field_5c4a704925c82
3679,[2017]都民コンサート,,field_5c4a704925c82
3682,【東京アートポイント計画】TERATOTERA,,field_5c4a704925c82
3689,【東京アートポイント計画】東京迂回路研究,,field_5c4a704925c82
3694,[2017]eyes系事業,,field_5c4a704925c82
3706,若手提携公演,,field_5c4a704925c82
3710,[2017]ハムレット,,field_5c4a704925c82
3713,[2017]気づかいルーシー,,field_5c4a704925c82
3715,[2017]『朗読東京』『自作自演』,,field_5c4a704925c82
3725,"[2017]RooTS Vol.05  秘密の花園",,field_5c4a704925c82
3730,【東京アートポイント計画】としまアートステーション構想,,field_5c4a704925c82
3731,【芸劇レパートリー】パルコ主催「不信～彼女が嘘をつく理由」,,field_5c4a704925c82
3749,"[2017]【芸劇レパートリー】ホリプロ主演公演 ミュージカル「パレード」",,field_5c4a704925c82
3751,"[2017]【芸劇レパートリー】大人計画 日本総合悲劇協会vol.6「業音」",,field_5c4a704925c82
3753,"タイムライン ふくしまの中高生によるミュージカル創作・公演",,field_5c4a704925c82
3756,"[2017]芸劇dance 若手提携",,field_5c4a704925c82
3789,【東京アートポイント計画】アートアクセスあだち　音まち千住の縁,,field_5c4a704925c82
3801,【東京アートポイント計画】小金井アートフル・アクション！,,field_5c4a704925c82
3861,【東京アートポイント計画】東京スープとブランケット紀行,,field_5c4a704925c82
3870,【東京アートポイント計画】東京ステイ,,field_5c4a704925c82
3875,"【東京アートポイント計画】Betweens Passport Initiative",,field_5c4a704925c82
3883,"【東京アートポイント計画】Artpoint Meeting",,field_5c4a704925c82
3886,"東京都による芸術文化を活用した被災地支援事業 Art Support Tohoku-Tokyo",,field_5c4a704925c82
3963,"[2017]芸劇dance Rosas 「ファーズ―Fase」「時の渦－Vortex Temporum（ヴォルテックス・テンポラム）」",,field_5c4a704925c82
3973,"[2017]芸劇dance 勅使川原三郎「月に吠える」",,field_5c4a704925c82
3975,タレンツ・トーキョー,,field_5c4a704925c82
3978,"国際創造発信事業 マルタン・ズィメルマン「Hallo」",,field_5c4a704925c82
3980,"国際創造発信事業 「オセロー」",,field_5c4a704925c82
3982,"国際創造発信事業 「表にでろいっ！」海外公演",,field_5c4a704925c82
3985,"【人材育成事業】Tokyo Art Reserch Lab",,field_5c4a704925c82
3986,TACT/FESTIVAL2017,,field_5c4a704925c82
3994,"アーツアカデミー 東京芸術劇場プロフェッショナル人材養成研修",,field_5c4a704925c82
4003,[2017]ストリートアーティスト・アカデミー,,field_5c4a704925c82
4016,[2017]人材育成・教育普及,,field_5c4a704925c82
4031,都民芸術フェスティバル,,field_5c4a704925c82
4061,"「国際演劇年鑑」ワールド・シアター・レポート#File2  「ロシア」 変わりゆくロシア演劇界―サンクト・ペテルブルグを中心に―",,field_5c4a704925c82
4063,国際演劇協会「紛争地域から生まれた演劇9」,,field_5c4a704925c82
4065,"演劇系大学共同制作vol.5 『Theatresports™』",,field_5c4a704925c82
4068,【東京アートポイント計画】アートアクセスあだち　音まち千住の縁,,field_5c4a704925c82
4069,劇場の賑わい創造事業,,field_5c4a704925c82
4134,アーツカウンシル・フォーラム　オープン・フォーラム2017,,field_5c4a704925c82
4162,東京地域芸術文化助成,,field_5c4a704925c82
4180,"Tokyo Tokyo FESTIVAL場の開放事業 「都民パフォーマーズコーナー・通称トパコ」",,field_5c4a704925c82
4200,[2017]東京キャラバン,,field_5c4a704925c82
4204,東京芸術文化創造発信助成　長期助成プログラム,,
4206,"TWS-NEXT @tobikan 「クウキのおもさ」",,field_5c4a704925c82
4209,"TWS-Emerging 2016",,field_5c4a704925c82
4217,ワンダーシード2017,,field_5c4a704925c82
4219,"オープン・スタジオ 2016-2017",,field_5c4a704925c82
4228,"TWS Creator-in-Residence 2015-2016 Part 3",,field_5c4a704925c82
4231,"OPEN SITE 2016-2017",,field_5c4a704925c82
4245,[2017]TURN,,field_5c4a704925c82
4315,伝統芸能公演,,field_5c4a704925c82
4322,江戸あそび～日本橋伝統文化フェスティバル2017～,,field_5c4a704925c82
4329,伝承のたまてばこ～多摩伝統文化フェスティバル～,,field_5c4a704925c82
4362,東京文化プログラム助成,,field_5c4a704925c82
4382,アール・ブリュット事業,,field_5c4a704925c82
4397,"子供向け舞台芸術参加・公演プログラム こども芸能体験ひろば",,field_5c4a704925c82
4401,学校と文化施設をつなぐ「ティーチャーズプログラム2017」,,field_5c4a704925c82
4418,"子供向け舞台芸術参加・公演プログラム 参加・体験・感動！ふれあいこどもまつり",,field_5c4a704925c82
4435,フレッシュ名曲コンサート,,field_5c4a704925c82
4437,東京芸術文化創造発信助成　長期助成プログラム,,
4502,アート・コミュニケーション事業基盤整備事業,,field_5c4a704925c82
4577,"若手のための現代音楽企画ゼミ2016 プログラム",,field_5c4a704925c82
4580,"子供向け舞台芸術参加・公演プログラム 第13回子どもたちと芸術家の出あう街2017",,field_5c4a704925c82
4583,東京芸術祭,,field_5c4a704925c82
4633,【東京アートポイント計画】トッピングイースト,,field_5c4a704925c82
4674,【東京アートポイント計画】リライトプロジェクト,,field_5c4a704925c82
4685,【東京アートポイント計画】東京スープとブランケット紀行,,field_5c4a704925c82
4709,【東京アートポイント計画】汐入タワープログラム,,field_5c4a704925c82
4713,"【東京アートポイント計画】Betweens Passport Initiative",,field_5c4a704925c82
4734,【誘致展】フォトジャーナリスト長倉洋海の眼　地を這い、未来へ駆ける,,field_5c4a704925c82
4736,"【誘致展】第42回 2017 JPS展 日本写真家協会",,field_5c4a704925c82
4738,【東京アートポイント計画】東京ステイ,,field_5c4a704925c82
4740,"【誘致展】世界報道写真展2017 WORLD PRESS PHOTO 2017",,field_5c4a704925c82
4748,【誘致展】写真新世紀東京展2017,,field_5c4a704925c82
4754,【誘致展】生誕100年　ユージン・スミス写真展,,field_5c4a704925c82
4759,"【誘致展】APAアワード2018 第46回 公益社団法人日本広告写真家協会公募展",,field_5c4a704925c82
4761,"【誘致展】清里フォトアートミュージアム収蔵作品展 原点を、永遠に。̶２０１８̶",,field_5c4a704925c82
4763,【東京アートポイント計画】500年のcommonを考えるプロジェクト「YATO」,,field_5c4a704925c82
4769,"【東京アートポイント計画】HAPPY TURN／神津島",,field_5c4a704925c82
4773,"【東京アートポイント計画】Artpoint Meeting",,field_5c4a704925c82
4777,図書室等の運営,,field_5c4a704925c82
4780,"""東京都による芸術文化を活用した被災地支援事業 Art Support Tohoku-Tokyo""",,
4784,教育普及等　2017,,field_5c4a704925c82
4799,[2017]都民芸術フェスティバル,,field_5c4a704925c82
4864,教育普及事業,,field_5c4a704925c82
